DATE,CHNCPIALLMINMEI
1993-01-01,41.3468896208478
1993-02-01,41.5810952335246
1993-03-01,42.3507097909967
1993-04-01,43.5743878273615
1993-05-01,44.2267396424097
1993-06-01,44.1655482369821
1993-07-01,43.8595404812181
1993-08-01,44.799498242854
1993-09-01,45.9754948933546
1993-10-01,46.3095865802682
1993-11-01,46.7109965633588
1993-12-01,48.12293698655
1994-01-01,50.0710839212715
1994-02-01,51.2279093784309
1994-03-01,51.8372686827227
1994-04-01,53.0300297350741
1994-05-01,53.6470349706462
1994-06-01,54.1469620596289
1994-07-01,54.3858297739719
1994-08-01,56.35776843441
1994-09-01,58.526805421979
1994-10-01,59.1373413485743
1994-11-01,59.5565204421414
1994-12-01,60.3942853861742
1995-01-01,62.138215076546
1995-02-01,62.7029606677339
1995-03-01,62.8786071270347
1995-04-01,64.0072457866635
1995-05-01,64.5373831817132
1995-06-01,64.0017086161942
1995-07-01,63.4682639965381
1995-08-01,64.5296449525156
1995-09-01,66.2523433036686
1995-10-01,66.2929600237617
1995-11-01,66.2268514644081
1995-12-01,66.4941081862226
1996-01-01,67.7306543841157
1996-02-01,68.5343360323792
1996-03-01,69.0407105888468
1996-04-01,70.2159491282105
1996-05-01,70.281210096767
1996-06-01,69.5058561588848
1996-07-01,68.7361295756964
1996-08-01,69.7565464614038
1996-09-01,71.155017025194
1996-10-01,70.9334675002051
1996-11-01,70.7965037321212
1996-12-01,71.1486956747105
1997-01-01,71.7267631668059
1997-02-01,72.372258867102
1997-03-01,71.8023389560355
1997-04-01,72.4628594890402
1997-05-01,72.2490841260258
1997-06-01,71.4520197452324
1997-07-01,70.5920053666344
1997-08-01,71.081920597573
1997-09-01,72.4358070399579
1997-10-01,71.9974694352061
1997-11-01,71.5752656472982
1997-12-01,71.4332910182425
1998-01-01,71.941943430942
1998-02-01,72.2998867315336
1998-03-01,72.3049553667742
1998-04-01,72.245470415969
1998-05-01,71.5265936440934
1998-06-01,70.5231433701776
1998-07-01,69.6037173154567
1998-08-01,70.0867736133862
1998-09-01,71.3492703218689
1998-10-01,71.2054969402736
1998-11-01,70.7163623665281
1998-12-01,70.7189579812384
1999-01-01,71.0786401464081
